2.1,-0.15749,-0.7,-0.25395,0,0.96722
1.9122,-0.15798,-0.74346,-0.13968,0,0.9902
1.7416,-0.15801,-0.74592,0.25446,0,0.96708
1.6053,-0.15709,-0.66672,0.78504,0,0.61944
1.5089,-0.15311,-0.49467,0.93756,0,0.34782
1.4386,-0.14106,-0.27034,0.96724,0,0.25388
1.3782,-0.11562,-0.039514,-0.96128,0,-0.27557
1.3126,-0.073817,0.15726,-0.92089,0,-0.38981
1.2332,-0.028921,0.31644,-0.84414,0,-0.53612
1.1342,-0.0011677,0.45033,-0.73862,0,-0.67412
1.0118,-0.0044305,0.56947,-0.63788,0,-0.77013
0.8729,-0.016513,0.67426,-0.54999,0,-0.83517
0.72853,-0.0026166,0.76151,-0.46593,0,-0.88482
0.58589,0.053888,0.82916,-0.36705,0,-0.9302
0.44265,0.12262,0.87804,-0.25409,0,-0.96718
0.29514,0.16721,0.90937,-0.13855,0,-0.99036
0.14342,0.18444,0.92345,-0.022678,0,-0.99974
-0.0087932,0.2035,0.91966,0.098254,0,-0.99516
-0.15686,0.24442,0.89616,0.25609,0,-0.96665
-0.29352,0.29201,0.84715,0.46975,0,-0.8828
-0.4116,0.32524,0.76685,0.67552,0,-0.73734
-0.51246,0.3445,0.66151,0.77187,0,-0.63578
-0.60348,0.3654,0.54588,0.80203,0,-0.59729
-0.68411,0.39258,0.42805,0.87135,0,-0.49067
-0.73932,0.41048,0.30383,0.96925,0,-0.24609
